"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"120","FOCR-O11-RAW","FOCR (overlap)","11","",0.00908167689441268,0.000319619241579701,0.0493131158159347,0.000776073230858135,0.829815146094216,0.0009552063674066,"sine","iid",0.25
"121","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.00210683877559884,0.000138307425478575,0.580739415623137,0.000441115014946852,"sine","iid",0.25
"122","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.000536087932557035,6.68882097467305e-05,0.638163387000596,0.000485938206686626,"sine","iid",0.25
"123","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.00121590674103054,9.20197269395325e-05,0.620393559928444,0.000482257187383882,"sine","iid",0.25
"124","FOCR-D11-RAW","FOCR (disjoint)","11","",0.00846900710186975,0.000406367135664731,0.011897725684632,0.000426261639384031,0.745140131186643,0.000909978892595536,"sine","iid",0.25
"125","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.000602957582353704,6.61288204403957e-05,0.57567084078712,0.000506076729361737,"sine","iid",0.25
"126","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,0,0,0.619677996422182,0.000524213553423896,"sine","iid",0.25
"127","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.000283455128310871,3.7605461916574e-05,0.602802623732856,0.00052113655278212,"sine","iid",0.25
"128","FOCR-O21-RAW","FOCR (overlap)","21","",0.00383060086694629,0.000251287644865891,0.103936980996821,0.00087344437722663,0.902504472271914,0.00095250908291555,"sine","iid",0.25
"129","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.00505465976889243,0.00016082334232937,0.577280858676207,0.000461137085606063,"sine","iid",0.25
"130","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.00146861144813934,8.96593832185586e-05,0.633571854502087,0.000476549447559229,"sine","iid",0.25
"131","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.00370178956251524,0.000137822058441295,0.612283840190817,0.000522417253133002,"sine","iid",0.25
"132","FOCR-D21-RAW","FOCR (disjoint)","21","",0.00579710144927536,0.000501081019770667,0.0480516567628369,0.000510398961862125,0.793619558735838,0.00107454214806147,"sine","iid",0.25
"133","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.00232324064696768,0.000116251129668285,0.580023852116875,0.000511207272043609,"sine","iid",0.25
"134","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.000290745909673232,2.95900116605786e-05,0.615623136553369,0.000478513690605944,"sine","iid",0.25
"135","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00156217925143692,8.57272786749858e-05,0.597912939773405,0.000541943409559615,"sine","iid",0.25
"136","BH","BH","","",NA,NA,0.0256423874296952,0.00029532827706613,0.584853905784138,0.000434801814947563,"sine","iid",0.268292682926829
"137","LAWS","LAWS","","",NA,NA,0.0260102849098819,0.000321809763591699,0.621407274895647,0.00046703759766171,"sine","iid",0.268292682926829
"138","SABHA","SABHA","","",NA,NA,0.0346853800209494,0.000374026744919743,0.620989862850328,0.000471804499255178,"sine","iid",0.268292682926829
"139","FOCR-O3-RAW","FOCR (overlap)","3","",0.0186910390373835,0.000319810944727397,0.0359118156675134,0.00055418465839317,0.719320214669052,0.000460391985090669,"sine","iid",0.268292682926829
"140","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.00205465626269616,0.000145248793525243,0.595348837209302,0.000499492306030727,"sine","iid",0.268292682926829
"141","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.00517724121229698,0.000172843583218669,0.64675014907573,0.000561511154442669,"sine","iid",0.268292682926829
"142","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.00264824024235947,0.00013766844096377,0.639594514013119,0.000561074260047779,"sine","iid",0.268292682926829
"143","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0184533731384706,0.000371028554868517,0.0188830570413013,0.000377161741436015,0.671079308288611,0.000423603320671971,"sine","iid",0.268292682926829
"144","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.00102281747948202,9.42402651715006e-05,0.576326774001193,0.00052245245737453,"sine","iid",0.268292682926829
"145","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.00173262755794997,9.55440103339949e-05,0.616815742397138,0.000544587813139454,"sine","iid",0.268292682926829
"146","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.000776113459232535,6.08337356208791e-05,0.610673822301729,0.000596196674542024,"sine","iid",0.268292682926829
"147","FOCR-O11-RAW","FOCR (overlap)","11","",0.0122055379032404,0.000498164112355758,0.0555591877502625,0.00110966625426337,0.847346451997615,0.000822443949836744,"sine","iid",0.268292682926829
"148","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.00282513346535406,0.000120274735002484,0.608467501490757,0.000383816642092519,"sine","iid",0.268292682926829
"149","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.000899861475259892,6.37467949302666e-05,0.658616577221228,0.000395258354341992,"sine","iid",0.268292682926829
"150","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.0019265810442618,9.57679134993843e-05,0.644364937388193,0.000400594130390232,"sine","iid",0.268292682926829
"151","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0107819431537234,0.000518071757775523,0.0129703171103901,0.000530059179074658,0.764400715563506,0.000622883410172609,"sine","iid",0.268292682926829
"152","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.00096229014716555,9.81888594410709e-05,0.605008944543828,0.000455855465445916,"sine","iid",0.268292682926829
"153","FOCR-D11-LAWS","FOCR (disjoint)","11","LAWS",NA,NA,9.57854406130268e-05,1.74879488347754e-05,0.640608228980322,0.000452602735787988,"sine","iid",0.268292682926829
"154","FOCR-D11-SABHA","FOCR (disjoint)","11","SABHA",NA,NA,0.000466964759544651,4.28109376342228e-05,0.629516994633274,0.000452602735787988,"sine","iid",0.268292682926829
"155","FOCR-O21-RAW","FOCR (overlap)","21","",0.00759088303582632,0.000493420129572065,0.114887074004109,0.00112196083156163,0.909838998211091,0.00056691509130914,"sine","iid",0.268292682926829
"156","FOCR-O21-BH","FOCR (overlap)","21","BH",NA,NA,0.00596880341987142,0.000155097866491176,0.604531902206321,0.00042395052075631,"sine","iid",0.268292682926829
"157","FOCR-O21-LAWS","FOCR (overlap)","21","LAWS",NA,NA,0.00225832702119518,9.72658267311449e-05,0.653011329755516,0.00038913075460371,"sine","iid",0.268292682926829
"158","FOCR-O21-SABHA","FOCR (overlap)","21","SABHA",NA,NA,0.00444902572555053,0.000130732548616717,0.6376267143709,0.000429053375605542,"sine","iid",0.268292682926829
"159","FOCR-D21-RAW","FOCR (disjoint)","21","",0.0084088713219148,0.000669746437571252,0.0489603070037853,0.000681965826927741,0.804591532498509,0.000695875692669869,"sine","iid",0.268292682926829
"160","FOCR-D21-BH","FOCR (disjoint)","21","BH",NA,NA,0.00262380196773352,9.83482514168599e-05,0.607155635062612,0.000346854000769476,"sine","iid",0.268292682926829
"161","FOCR-D21-LAWS","FOCR (disjoint)","21","LAWS",NA,NA,0.000554013496243987,4.44040580290792e-05,0.636851520572451,0.000393366721242664,"sine","iid",0.268292682926829
"162","FOCR-D21-SABHA","FOCR (disjoint)","21","SABHA",NA,NA,0.00170907594602427,8.3388544717003e-05,0.623017292784735,0.000391471167749592,"sine","iid",0.268292682926829
"163","BH","BH","","",NA,NA,0.0246948969445196,0.000352914532031089,0.604412641621944,0.000400390026779698,"sine","iid",0.285714285714286
"164","LAWS","LAWS","","",NA,NA,0.0271000704518464,0.000375319996341395,0.638461538461538,0.000427813224069252,"sine","iid",0.285714285714286
"165","SABHA","SABHA","","",NA,NA,0.0356865081169629,0.000410130995274457,0.63726893261777,0.000389823345351925,"sine","iid",0.285714285714286
"166","FOCR-O3-RAW","FOCR (overlap)","3","",0.0183342180392057,0.00039526931337185,0.0347981869120241,0.000677992130908632,0.726893261776983,0.000678505905515811,"sine","iid",0.285714285714286
