"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"65","FOCR-O41-LAWS","FOCR (overlap)","41","LAWS",NA,NA,0.0542681830885012,0.00244931373439776,0.183787346221441,0.00396179533349571,"step","AR",0.144444444444444
"66","FOCR-O41-SABHA","FOCR (overlap)","41","SABHA",NA,NA,0.0381722471230221,0.00215643254089913,0.120738137082601,0.00361752639923989,"step","AR",0.144444444444444
"67","FOCR-D41-RAW","FOCR (disjoint)","41","",0.0207482993197279,0.00161232065676585,0.0837121149272717,0.00282565926618884,0.183347978910369,0.00354247957387336,"step","AR",0.144444444444444
"68","FOCR-D41-BH","FOCR (disjoint)","41","BH",NA,NA,0.0479886183478699,0.00223310390642943,0.110237258347979,0.00242760672703963,"step","AR",0.144444444444444
"69","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0.0491619832730919,0.00219539256813437,0.131019332161687,0.00291652045189474,"step","AR",0.144444444444444
"70","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0.0267428531709059,0.00178177371439965,0.0763620386643234,0.00245015429755451,"step","AR",0.144444444444444
"71","BH","BH","","",NA,NA,0.0326644380002497,0.00277106361450741,0.113796133567663,0.00257283714221684,"step","AR",0.188888888888889
"72","LAWS","LAWS","","",NA,NA,0.0886465323639898,0.00199473283586094,0.487038664323374,0.00383887608349129,"step","AR",0.188888888888889
"73","SABHA","SABHA","","",NA,NA,0.0785311282681149,0.00196092802851851,0.444376098418278,0.00431895998129801,"step","AR",0.188888888888889
"74","FOCR-O3-RAW","FOCR (overlap)","3","",0.0292328192306667,0.00259310724138574,0.037981419579285,0.00246853413965177,0.132996485061511,0.00298632872774338,"step","AR",0.188888888888889
"75","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0285405077708722,0.00262868936252191,0.0805799648506151,0.00199134820701086,"step","AR",0.188888888888889
"76","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0275701914610823,0.00261409003106464,0.0915202108963093,0.00230786930294276,"step","AR",0.188888888888889
"77","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0282974484322231,0.00293514357487627,0.0806239015817223,0.00211114911518156,"step","AR",0.188888888888889
"78","FOCR-D3-RAW","FOCR (disjoint)","3","",0.0277544200863501,0.00242519959974647,0.0333307787545078,0.00241438632162861,0.113181019332162,0.00260782647672977,"step","AR",0.188888888888889
"79","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.0254290558163798,0.00271704139451604,0.062829525483304,0.00160729401726343,"step","AR",0.188888888888889
"80","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0254886820060369,0.00271208095671159,0.0719244288224956,0.00193514543933507,"step","AR",0.188888888888889
"81","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.0292301804442707,0.00344108600448691,0.0637082601054482,0.00174644343413333,"step","AR",0.188888888888889
